"Name","val_acc","test_acc","State","Notes","User","Tags","Created","Runtime","Sweep","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","dataset","epochs","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","seed","wd_B","wd_F","yaml","val_loss","best_epoch","test_loss"
"FashionMNIST_classification_CCL","0.8801666666666667","0.8713","finished","-","","","2024-05-05T05:57:53.000Z","1073","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","3","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.35041851635773974","92","0.3727174315452575"
"CIFAR10_classification_CCL","0.5232","0.5206","finished","-","","","2024-05-05T05:06:59.000Z","1576","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","3","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.389985405921936","96","1.3775591045379638"
"CIFAR10_classification_CCL","0.5104","0.5137","finished","-","","","2024-05-05T02:48:17.000Z","1083","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","2","2","CCL","0","0","train","3","SGD","3","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.404101537322998","96","1.3927265602111816"
"FashionMNIST_classification_CCL","0.8915","0.8857","finished","-","","","2024-05-05T04:29:34.000Z","1130","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","0.5","0.5","0.5","2","2","CCL","0","0","train","1","SGD","3","0","0","./yaml/mlp/fmnist_ccl.yaml","0.3335042637983958","77","0.34103803238868713"
"CIFAR10_classification_CCL","0.5222","0.5139","finished","-","","","2024-05-05T02:14:27.000Z","1092","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","3","0","0","./yaml/mlp/cifar10_ccl.yaml","1.4186877517700196","84","1.4042729496002198"
"FashionMNIST_classification_CCL","0.8845","0.8722","finished","-","","","2024-05-05T03:30:04.000Z","1070","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","2","0.0001","0.0001","./yaml/mlp/fmnist_ccl.yaml","0.3347205379803975","99","0.3697477104663849"
"CIFAR100_classification_CCL","0.0638","0.1546","finished","-","","","2024-05-05T01:44:34.000Z","847","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","3","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.383318480682373","10","3.766811849975586"
"FashionMNIST_classification_CCL","0.8975","0.8813","finished","-","","","2024-05-05T03:11:29.000Z","1131","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","1","1","0.5","2","2","CCL","0","0","train","1","SGD","2","0","0","./yaml/mlp/fmnist_ccl.yaml","0.3240671455860138","74","0.345244865322113"
"CIFAR10_classification_CCL","0.4732","0.4871","finished","-","","","2024-05-05T00:43:43.000Z","1094","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","0.2","0.2","CCL","0","0","train","3","SGD","2","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.5209136487960817","95","1.4805560695648194"
"MNIST_classification_CCL","0.9673333333333334","0.9733","finished","-","","","2024-05-04T23:31:58.000Z","988","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","0.5","0.5","0.5","0.5","0.5","CCL","0","0","train","1","SGD","1","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.10534751887371142","95","0.08931675742268562"
"CIFAR100_classification_CCL","0.1972","0.1744","finished","-","","","2024-05-05T02:18:14.000Z","1110","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","0.2","0.2","CCL","0","0","train","3","SGD","3","0","0","./yaml/mlp/cifar100_ccl.yaml","3.5834150745391846","99","3.6378446250915526"
"MNIST_classification_CCL","0.9715","0.9741","finished","-","","","2024-05-05T03:11:02.000Z","1134","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","2","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.09947537887096404","91","0.08544301632642747"
"FashionMNIST_classification_CCL","0.8945","0.8785","finished","-","","","2024-05-05T01:27:33.000Z","953","","0","elu","elu","simple_linear","256","zero","1","0","FashionMNIST","100","0.001","0","0","0.5","0.5","0.5","0.5","0.5","CCL","0","0","train","1","SGD","2","0","0","./yaml/mlp/fmnist_ccl.yaml","0.3003860067526499","99","0.3399567324638367"
"CIFAR100_classification_CCL","0.0522","0.1574","finished","-","","","2024-05-06T01:39:57.000Z","1161","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","0.5","1","1","CCL","0","0","train","3","SGD","4","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","4.38834808807373","8","3.763592372131347"
"CIFAR10_classification_CCL","0.5132","0.5112","finished","-","","","2024-05-05T02:32:49.000Z","1102","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","3","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.4120882177352905","99","1.40245495967865"
"MNIST_classification_CCL","0.9685","0.9743","finished","-","","","2024-05-06T03:39:07.000Z","1529","","0","elu","elu","simple_linear","256","zero","1","0","MNIST","100","0.001","0","0","1","1","0.5","1","1","CCL","0","0","train","1","SGD","4","0.0001","0.0001","./yaml/mlp/mnist_ccl.yaml","0.1018428726196289","99","0.0863515035867691"
"CIFAR10_classification_CCL","0.4892","0.5128","finished","-","","","2024-05-05T01:34:29.000Z","1116","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","2","2","CCL","0","0","train","3","SGD","2","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.4576355520248414","88","1.3861210439682008"
"CIFAR100_classification_CCL","0.1902","0.1883","finished","-","","","2024-05-06T02:44:19.000Z","1135","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","0.5","0.5","1","1","1","CCL","0","0","train","3","SGD","5","0","0","./yaml/mlp/cifar100_ccl.yaml","3.5377692043304445","98","3.5697732872009276"
"MNIST_classification_CCL","","","finished","-","","","2024-05-05T18:08:32.000Z","15","","0","elu","elu","simple_linear","256","zero","1","2","MNIST","100","0.001","0","2","1","1","0.5","1","1","CCL","0","0","train","1","SGD","2023","0","0","./yaml/linear_mnist_ccl.yaml","","",""
"CIFAR100_classification_CCL","0.2022","0.1914","finished","-","","","2024-05-05T00:57:47.000Z","853","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","1","1","0.5","2","2","CCL","0","0","train","3","SGD","2","0","0","./yaml/mlp/cifar100_ccl.yaml","3.536625259780884","98","3.588552229309082"
"CIFAR10_classification_CCL","0.5192","0.5291","finished","-","","","2024-05-06T01:07:02.000Z","1622","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","6","0","0","./yaml/mlp/cifar10_ccl.yaml","1.432331757926941","98","1.393523574066162"
"CIFAR10_classification_CCL","0.5028","0.5217","finished","-","","","2024-05-05T03:20:25.000Z","1620","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR10","100","0.001","0","0","0.5","0.5","0.5","1.5","1.5","CCL","0","0","train","3","SGD","2","0.0001","0.0001","./yaml/mlp/cifar10_ccl.yaml","1.4341123346328737","88","1.3715890703201294"
"CIFAR100_classification_CCL","0.1668","0.1552","finished","-","","","2024-05-05T03:13:38.000Z","1101","","0","elu","elu","simple_linear","256","zero","1","0","CIFAR100","100","0.001","0","0","1","1","0.5","0.2","0.2","CCL","0","0","train","3","SGD","3","0.0001","0.0001","./yaml/mlp/cifar100_ccl.yaml","3.777248923110962","47","3.763920056152344"
