"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"CIFAR10_BP","","9.519716262817385","finished","-","","","2024-05-04T01:36:33.000Z","34","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","3","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36674","1.8188691139221191","0.3682","1.821052312850952","","","","","","","","","","","",""
"MNIST_DTP_linear_DRL","","89.06884002685547","finished","-","","","2024-05-04T01:36:48.000Z","108","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","DRL","10","5","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_FWDTP-BN_linear-BN","","23.3837673664093","finished","-","","","2024-05-04T01:37:14.000Z","47","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","10","3","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","79.67274069786072","finished","-","","","2024-05-04T01:37:37.000Z","113","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","2","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DTP","","31.41172194480896","finished","-","","","2024-05-04T01:38:09.000Z","54","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","10","3","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","145.0908203125","finished","-","","","2024-05-04T01:38:33.000Z","167","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","4","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_L-DRL","","69.97471237182617","finished","-","","","2024-05-04T01:38:44.000Z","89","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.0002","true","L-DRL","10","5","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","48.76219391822815","finished","-","","","2024-05-04T01:39:11.000Z","70","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","3","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_L-DRL","","78.3848626613617","finished","-","","","2024-05-04T01:39:41.000Z","109","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","0.2","0.0004","true","L-DRL","10","2","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_BP","","7.816078186035156","finished","-","","","2024-05-04T01:40:22.000Z","26","","tanh","false","BP","identity","tanh","uniform","identity","linear","orthogonal","256","CIFAR10","4","1","5","5","identity","linear","orthogonal","identity","tanh","orthogonal","linear","1024","3072","false","0.001","0.001","true","DTP","10","5","-1","0.01","0.01","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36776","1.818709135055542","0.3717","1.819905400276184","","","","","","","","","","","",""
