"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_CCL_none","0.8102","0.8274","finished","2024-05-03T09:10:21.000Z","2024-05-03T09:10:21.000Z","2024-05-03T07:33:45.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.5","0.000001","1","1","0","0.2","0.1","1.2","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5424001007556916","0.5940959847927093"
"CIFAR10_CCL_none","0.8098","0.8261","finished","2024-05-03T13:17:09.000Z","2024-05-03T13:17:09.000Z","2024-05-03T12:18:03.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.2","0.000001","1","0","0","0.2","0.3","1","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5410438394546508","0.5650824693918228"
"CIFAR10_CCL_none","0.8098","0.8275","finished","2024-05-03T09:15:26.000Z","2024-05-03T09:15:26.000Z","2024-05-03T08:02:36.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.2","0.000001","1","0","0","0.2","0.1","1.5","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5349618497610092","0.5952413864135743"
"CIFAR10_CCL_none","0.8096","0.8282","finished","2024-05-03T06:45:44.000Z","2024-05-03T06:45:44.000Z","2024-05-03T05:48:56.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1","CCL","0.8","0.000001","1","1","0","0.2","0.1","1","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5379899111509323","0.585091604232788"
"CIFAR10_CCL_none","0.8096","0.8235","finished","2024-05-03T08:39:58.000Z","2024-05-03T08:39:58.000Z","2024-05-03T07:42:49.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.5","CCL","0.5","0.000001","1","1","0","0.2","0.1","1.5","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5418350820541382","0.5820796343803406"
"CIFAR10_CCL_none","0.8096","0.8212","finished","2024-05-03T07:04:34.000Z","2024-05-03T07:04:34.000Z","2024-05-03T06:00:42.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.1","1.2","CCL","0.8","0.000001","1","0","0","0.2","0.1","1.2","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5425287939548492","0.5808607066869735"
"CIFAR10_CCL_none","0.8094","0.8242","finished","2024-05-03T16:31:13.000Z","2024-05-03T16:31:13.000Z","2024-05-03T15:17:26.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.2","0.000001","1","0","0","0.2","0.3","1","0.2","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5406192869186401","0.5697504414558411"
"CIFAR10_CCL_none","0.809","0.8285","finished","2024-05-03T18:58:24.000Z","2024-05-03T18:58:24.000Z","2024-05-03T17:44:35.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.8","0.000001","1","0","0","0.2","0.3","1","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5545217636585236","0.6074832353591919"
"CIFAR10_CCL_none","0.809","0.8271","finished","2024-05-03T18:49:27.000Z","2024-05-03T18:49:27.000Z","2024-05-03T17:12:58.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.2","CCL","0.5","0.000001","1","1","0","0.2","0.3","1.2","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.543281916475296","0.6004683731555939"
"CIFAR10_CCL_none","0.8088","0.8288","finished","2024-05-03T17:58:10.000Z","2024-05-03T17:58:10.000Z","2024-05-03T17:02:36.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1.5","CCL","0.8","0.000001","1","0","0","0.2","0.3","1.5","0.8","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5471961653709412","0.616199319267273"
"CIFAR10_CCL_none","0.8086","0.8227","finished","2024-05-03T18:40:48.000Z","2024-05-03T18:40:48.000Z","2024-05-03T17:37:39.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","1","1.2","CCL","0.5","0.000001","1","0","0","0.2","1","1.2","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5325998038291931","0.5976166707992554"
"CIFAR10_CCL_none","0.8084","0.823","finished","2024-05-03T17:44:24.000Z","2024-05-03T17:44:24.000Z","2024-05-03T16:31:25.000Z","1","elu","elu","cnn_pool","1","CIFAR10","100","0","0.3","1","CCL","0.5","0.000001","1","0","0","0.2","0.3","1","0.5","0.000001","./yaml/cnn/cifar10_ccl.yaml","0.5465193711042404","0.6068951047420502"
