"Name","val_acc","test_acc","State","Updated","End Time","Created","GradC","act_B","act_F","architecture","bn_affine","dataset","epochs","fw_bn","grad_clip_F","lr_F","method","mmt_F","wd_F","loss_scale_C","seed","bw_bn","filter_target","grad_clip_B","lr_B","mmt_B","wd_B","yaml","test_loss","val_loss"
"CIFAR10_BP_none","0.876","0.8764","finished","2024-05-03T09:55:12.000Z","2024-05-03T09:55:12.000Z","2024-05-03T09:20:33.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.03","BP","0.5","0.00001","0.5","0","0","0","1","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.40081232755184176","0.41179510841369626"
"CIFAR10_BP_none","0.8758","0.8405","finished","2024-05-03T12:02:25.000Z","2024-05-03T12:02:25.000Z","2024-05-03T11:26:35.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.9","0.00001","0.5","1","0","0","1","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5458374429702759","0.6505295007705688"
"CIFAR10_BP_none","0.8756","0.8663","finished","2024-05-05T06:25:45.000Z","2024-05-05T06:25:45.000Z","2024-05-05T05:46:08.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.01","BP","0.9","0.00001","0.5","3","0","0","1","0.01","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4399550471305847","0.47371181172207"
"CIFAR10_BP_none","0.8756","0.8866","finished","2024-05-05T11:29:34.000Z","2024-05-05T11:29:34.000Z","2024-05-05T10:52:26.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.9","0.00001","0.5","3","0","0","3","0.03","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6325483074188233","0.662946668001078"
"CIFAR10_BP_none","0.8754","0.8588","finished","2024-05-03T14:12:40.000Z","2024-05-03T14:12:40.000Z","2024-05-03T13:40:06.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.5","0.00001","0.5","1","0","0","3","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.45669927167892455","0.509567240524292"
"CIFAR10_BP_none","0.8754","0.8814","finished","2024-05-05T02:57:28.000Z","2024-05-05T02:57:28.000Z","2024-05-05T02:25:56.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.03","BP","0.5","0.00001","0.5","4","0","0","0","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.5125017431020736","0.5093297752380371"
"CIFAR10_BP_none","0.8752","0.8734","finished","2024-05-05T12:31:09.000Z","2024-05-05T12:31:09.000Z","2024-05-05T11:53:58.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.05","BP","0.9","0.00001","0.5","2","0","0","3","0.05","0.9","0","./yaml/cnn/cifar10_bp_pool.yaml","0.6555014170169831","0.7030330389022827"
"CIFAR10_BP_none","0.8752","0.8767","finished","2024-05-03T11:05:53.000Z","2024-05-03T11:05:53.000Z","2024-05-03T10:30:55.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","1","0.05","BP","0.5","0.00001","0.5","0","0","0","1","0.05","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4473943480253219","0.4458266155719757"
"CIFAR10_BP_none","0.875","0.8648","finished","2024-05-03T06:31:06.000Z","2024-05-03T06:31:06.000Z","2024-05-03T05:58:36.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","0","0.03","BP","0.5","0.00001","0.5","1","0","0","0","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.45147173018455505","0.49363431663513185"
"CIFAR10_BP_none","0.8748","0.8787","finished","2024-05-05T10:39:00.000Z","2024-05-05T10:39:00.000Z","2024-05-05T10:02:07.000Z","1","elu","elu","cnn_pool","0","CIFAR10","100","1","3","0.03","BP","0.5","0.00001","0.5","2","0","0","3","0.03","0.5","0","./yaml/cnn/cifar10_bp_pool.yaml","0.4990814383029938","0.5063534067153931"
