"Name","dataset","algorithm","loss_feedback","test accuracy","Runtime","State","learning_rate","learning_rate_backward","train accuracy","seed","activation_function","epochs_backward","stepsize"
"CIFAR100_FWDTP-BN_linear-BN","CIFAR100","FWDTP-BN","DTP","0.2306","23138","finished","0.2","0.001","0.7223","3","","5","0.01"
"CIFAR100_DTP_linear_DTP","CIFAR100","DTP","DTP","0.2305","18329","finished","1","0.008","0.56242","1","","5","0.01"
"CIFAR100_FWDTP-BN_linear-BN","CIFAR100","FWDTP-BN","DTP","0.2301","22039","finished","0.2","0.001","0.72422","2","","5","0.01"
"CIFAR100_DTP_linear_DTP","CIFAR100","DTP","DTP","0.23","13186","finished","1","0.008","0.56364","3","","5","0.01"
"CIFAR100_DTP_linear_DTP","CIFAR100","DTP","DTP","0.2295","15252","finished","1","0.008","0.56242","4","","5","0.01"
"CIFAR100_FWDTP-BN_linear-BN","CIFAR100","FWDTP-BN","DTP","0.2294","22771","finished","0.2","0.001","0.72538","1","","5","0.01"
"CIFAR100_DTP_linear_DTP","CIFAR100","DTP","DTP","0.2288","23237","finished","1","0.008","0.55064","2","","5","0.01"
"CIFAR100_FWDTP-BN_linear-BN","CIFAR100","FWDTP-BN","DTP","0.2286","14608","finished","0.2","0.001","0.72346","4","","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.227","195","finished","0.02","0.001","0.75266","4","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2264","206","finished","0.02","0.001","0.72062","4","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2247","246","finished","0.01","0.001","0.48718","1","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2204","227","finished","0.02","0.001","0.68616","2","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2194","199","finished","0.002","0.001","0.26922","4","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2165","242","finished","0.002","0.001","0.27132","2","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2152","149","finished","0.002","0.001","0.27056","5","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2138","225","finished","0.002","0.001","0.27138","3","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2131","226","finished","0.01","0.001","0.45444","3","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.2126","270","finished","0.05","0.001","0.93174","1","tanh","5","0.01"
"CIFAR100_DTP_linear_L-DRL","CIFAR100","DTP","L-DRL","0.208","20218","finished","2","0.0001","0.26768","3","","5","0.008"
"CIFAR100_DTP_linear_L-DRL","CIFAR100","DTP","L-DRL","0.2075","14408","finished","2","0.0001","0.26874","1","","5","0.008"
"CIFAR100_DTP_linear_DRL","CIFAR100","DTP","DRL","0.2069","14719","finished","0.8","0.002","0.26662","3","","5","0.02"
"CIFAR100_DTP_linear_L-DRL","CIFAR100","DTP","L-DRL","0.2069","14258","finished","2","0.0001","0.2665","5","","5","0.008"
"CIFAR100_DTP_linear_L-DRL","CIFAR100","DTP","L-DRL","0.2064","16600","finished","2","0.0001","0.26508","5","","5","0.008"
"CIFAR100_DTP_linear_DRL","CIFAR100","DTP","DRL","0.2061","12546","finished","0.8","0.002","0.26632","2","","5","0.02"
"CIFAR100_DTP_linear_L-DRL","CIFAR100","DTP","L-DRL","0.2055","9389","finished","2","0.0001","0.26774","4","","5","0.008"
"CIFAR100_DTP_linear_DRL","CIFAR100","DTP","DRL","0.2048","18120","finished","0.8","0.002","0.27112","1","","5","0.02"
"CIFAR100_DTP_linear_L-DRL","CIFAR100","DTP","L-DRL","0.2039","10522","finished","2","0.0001","0.26888","2","","5","0.008"
"CIFAR100_DTP_linear_DRL","CIFAR100","DTP","DRL","0.2037","10668","finished","0.8","0.002","0.26724","4","","5","0.02"
"CIFAR100_DTP_linear_DRL","CIFAR100","DTP","DRL","0.2024","19999","finished","0.8","0.002","0.26482","5","","5","0.02"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1952","207","finished","0.001","0.001","0.2257","1","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1949","180","finished","0.001","0.001","0.22486","4","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1931","203","finished","0.03","0.001","0.76972","1","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1931","151","finished","0.02","0.001","0.61364","5","tanh","5","0.01"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1927","259","finished","0.4","0.001","0.1919","4","tanh","5","0.04"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1925","220","finished","0.001","0.001","0.22504","3","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1921","242","finished","0.001","0.001","0.22502","2","tanh","5","0.01"
"CIFAR100_BP","CIFAR100","BP","DTP","0.1908","149","finished","0.001","0.001","0.22528","5","tanh","5","0.01"
"CIFAR100_DTP-BN_linear_DTP","CIFAR100","DTP-BN","DTP","0.1831","25272","finished","1","0.008","0.80434","3","","5","0.01"
"CIFAR100_DTP-BN_linear_DTP","CIFAR100","DTP-BN","DTP","0.183","26999","finished","1","0.008","0.80496","5","","5","0.01"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1824","184","finished","0.2","0.001","0.18336666666666668","1","tanh","5","0.04"
"CIFAR100_DTP-BN_linear_DTP","CIFAR100","DTP-BN","DTP","0.1819","17794","finished","1","0.008","0.82176","1","","5","0.01"
"CIFAR100_DTP-BN_linear_DTP","CIFAR100","DTP-BN","DTP","0.1794","22589","finished","1","0.008","0.80524","4","","5","0.01"
"CIFAR100_DTP-BN_linear_DTP","CIFAR100","DTP-BN","DTP","0.1786","17854","finished","1","0.008","0.78828","2","","5","0.01"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1755","190","finished","0.4","0.001","0.1734","1","tanh","5","0.04"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1703","197","finished","0.2","0.001","0.16931666666666667","2","tanh","5","0.04"
"CIFAR100_FWDTP_linear","CIFAR100","FWDTP","DTP","0.1549","12854","finished","0.2","0.001","0.17214","3","","5","0.01"
"CIFAR100_FWDTP_linear","CIFAR100","FWDTP","DTP","0.1545","8975","finished","0.2","0.001","0.1737","4","","5","0.01"
"CIFAR100_FWDTP_linear","CIFAR100","FWDTP","DTP","0.1537","15100","finished","0.2","0.001","0.17482","1","","5","0.01"
"CIFAR100_FWDTP_linear","CIFAR100","FWDTP","DTP","0.1537","13216","finished","0.2","0.001","0.17012","2","","5","0.01"
"CIFAR100_FWDTP_linear","CIFAR100","FWDTP","DTP","0.1518","10265","finished","0.2","0.001","0.17226","5","","5","0.01"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1376","174","finished","0.4","0.001","0.13968333333333333","5","tanh","5","0.04"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1181","173","finished","0.2","0.001","0.11755","5","tanh","5","0.04"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1039","197","finished","0.4","0.001","0.104","2","tanh","5","0.04"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.1037","182","finished","0.4","0.001","0.1041","3","tanh","5","0.04"
"FashionMNIST_BP","FashionMNIST","BP","DTP","0.093","185","finished","0.2","0.001","0.09458333333333334","3","tanh","5","0.04"
"FashionMNIST_DTP_linear_DRL","FashionMNIST","DTP","DRL","","1139","crashed","4","0.002","0.8366833333333333","2","","5","0.008"
