"Name","5_epoch_time2","5_epoch_time","State","Notes","User","Tags","Created","Runtime","Sweep","activation_function","agent","algorithm","backward_function_1","backward_function_1_activation","backward_function_1_init","backward_function_2","backward_function_2_activation","backward_function_2_init","batch_size","dataset","depth","direct_depth","epochs","epochs_backward","forward_function_1","forward_function_1_activation","forward_function_1_init","forward_function_2","forward_function_2_activation","forward_function_2_init","forward_last_activation","hid_dim","in_dim","label_augmentation","learning_rate","learning_rate_backward","log","loss_feedback","out_dim","seed","sparse_ratio","std_backward","stepsize","test","last_activation","GradC","act_B","act_F","architecture","batchsize","bias_init","bn_affine","bw_bn","eta_min","filter_target","fw_bn","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","method","mmt_B","mmt_F","mode","num_chn","optimizer","task","task_transform","tmax","warmup","wd_B","wd_F","yaml","train accuracy","train loss","valid accuracy","valid loss","eigenvalue ratio 1","eigenvalue ratio 2","eigenvalue ratio 3","eigenvalue ratio 4","eigenvalue ratio 5","eigenvalue trace 1","eigenvalue trace 2","eigenvalue trace 3","eigenvalue trace 4","eigenvalue trace 5","val_acc","val_loss"
"CIFAR10_DTP_linear_DTP","","30.54152512550354","finished","-","","","2024-05-04T07:12:34.000Z","52","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","4","0.004","true","DTP","10","3","-1","0.01","0.002","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","50.10336756706238","finished","-","","","2024-05-04T07:13:36.000Z","75","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","3","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_DTP_linear_DTP","","46.735939025878906","finished","-","","","2024-05-04T07:04:35.000Z","70","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","256","784","false","4","0.002","true","DTP","10","2","-1","0.01","0.04","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_classification_BP","40.05426859855652","","finished","-","","","2024-05-04T03:25:08.000Z","58","","","","","","","","","","","","MNIST","","","5","","","","","","","","","","","","","","","","","2","","","","","","0","tanh","tanh","simple_linear","256","none","1","2","0.001","0","0","0","0","0.5","0.1","0.05","BP","0","0","train","1","SGD","classification","none","0","0","0","0","./yaml/linear_mnist_bp.yaml","","","","","","","","","","","","","","","",""
"CIFAR10_FWDTP-BN_linear-BN","","23.31242609024048","finished","-","","","2024-05-04T07:11:36.000Z","46","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","10","5","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIST_FWDTP-BN_linear-BN","","25.65805292129517","finished","-","","","2024-05-04T06:21:07.000Z","49","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","MNIST","6","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","256","784","false","0.1","0.001","true","DTP","10","10","-1","0.01","0.04","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_DTP_linear_DRL","","32.43627190589905","finished","-","","","2024-05-04T07:10:03.000Z","51","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","100","8","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR10_DTP_linear_DRL","","56.93591332435608","finished","-","","","2024-05-04T07:16:20.000Z","80","","","false","DTP","parameterized","tanh","uniform","difference","linear","","256","CIFAR10","4","1","5","5","identity","linear","","parameterized","tanh","orthogonal","linear","1024","3072","false","2","0.004","true","DRL","10","1","-1","0.01","0.008","true","linear","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIFAR100_classification_CCL","78.25727677345276","","finished","-","","","2024-05-04T03:30:49.000Z","99","","","","","","","","","","","","CIFAR100","","","5","","","","","","","","","","","","","","","","","3","","","","","","0","elu","elu","simple_linear","256","zero","1","0","0.001","0","0","1","1","0.5","0.5","0.5","CCL","0","0","train","3","SGD","classification","none","0","100","0","0","./yaml/linear_cifar100_ccl.yaml","","","","","","","","","","","","","","","",""
"CIFAR100_FWDTP-BN_linear-BN","","23.233888864517212","finished","-","","","2024-05-04T07:20:06.000Z","45","","","false","FWDTP-BN","random","tanh-BN","uniform","difference","linear-BN","","256","CIFAR100","4","1","5","5","identity","linear","","parameterized","tanh-BN","orthogonal","linear-BN","1024","3072","false","0.02","0.001","true","DTP","100","1","-1","0.01","0.01","true","linear-BN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
