"Name","dataset","method","test_acc","Created","State","Runtime","GradC","act_B","act_F","batchsize","bias_init","epochs","filter_target","grad_clip_B","grad_clip_F","loss_scale_C","lr_B","lr_F","warmup","seed","bw_bn","val_acc","best_epoch"
"MNIST_classification_CCL","MNIST","CCL","0.9831","2024-05-01T05:19:59.000Z","finished","1568","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","1","1","0.9796666666666668","65"
"MNIST_classification_CCL","MNIST","CCL","0.9831","2024-05-01T05:46:17.000Z","finished","1484","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","1","2","0.9796666666666668","65"
"MNIST_classification_CCL","MNIST","CCL","0.9827","2024-05-01T06:36:13.000Z","finished","1437","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","3","1","0.9795","88"
"MNIST_classification_CCL","MNIST","CCL","0.9827","2024-05-01T05:26:53.000Z","finished","1323","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","1","2","0.9785","85"
"MNIST_classification_CCL","MNIST","CCL","0.9827","2024-05-01T07:00:19.000Z","finished","1447","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","3","2","0.9795","88"
"MNIST_classification_CCL","MNIST","CCL","0.9827","2024-05-01T05:07:15.000Z","finished","1168","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","1","1","0.9785","85"
"MNIST_classification_CCL","MNIST","CCL","0.9822","2024-05-01T07:26:45.000Z","finished","1501","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","3","2","0.9821666666666666","71"
"MNIST_classification_CCL","MNIST","CCL","0.9822","2024-05-01T07:01:33.000Z","finished","1502","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","3","1","0.9821666666666666","71"
"MNIST_classification_CCL","MNIST","CCL","0.9814","2024-05-01T06:11:11.000Z","finished","1488","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","2","1","0.9818333333333332","75"
"MNIST_classification_CCL","MNIST","CCL","0.9814","2024-05-01T06:36:09.000Z","finished","1514","0","elu","elu","256","zero","100","0","1","1","0.5","2","2","100","2","2","0.9818333333333332","75"
"MNIST_classification_CCL","MNIST","CCL","0.9813","2024-05-01T06:12:30.000Z","finished","1414","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","2","2","0.98","83"
"MNIST_classification_CCL","MNIST","CCL","0.9813","2024-05-01T05:49:11.000Z","finished","1391","0","elu","elu","256","zero","100","0","1","1","0.5","1","1","100","2","1","0.98","83"
