"Name","test accuracy","valid accuracy","State","Runtime","activation_function","agent","algorithm","batch_size","dataset","epochs","forward_last_activation","learning_rate","loss_feedback","seed","sparse_ratio","std_backward","stepsize","version","test loss","train accuracy"
"FashionMNIST_DTP_linear_L-DRL","0.8378","0.8378","finished","1202","","false","DTP","256","FashionMNIST","100","linear","2","L-DRL","3","-1","0.01","0.02","3","0.4566437304019928","0.8522"
"MNIST_DTP_linear_DRL","0.9304","0.9304","finished","1390","","false","DTP","256","MNIST","100","linear","4","DRL","5","-1","0.01","0.04","3","0.23879626393318176","0.9350333333333334"
"FashionMNIST_BP","0.2017","0.2017","finished","203","tanh","false","BP","256","FashionMNIST","100","linear","0.4","DTP","5","-1","0.01","0.04","","5453179","0.20411666666666667"
"CIFAR100_BP","0.2233","0.2233","finished","174","tanh","false","BP","256","CIFAR100","100","linear","0.004","DTP","3","-1","0.01","0.01","","3.4561729431152344","0.35622"
"CIFAR100_DTP_linear_DTP","0.2076","0.2076","finished","1220","","false","DTP","256","CIFAR100","100","linear","1","DTP","3","-1","0.01","0.01","3","4.010831356048584","0.60008"
"CIFAR10_DTP_linear_L-DRL","0.4182","0.4182","finished","1757","","false","DTP","256","CIFAR10","100","linear","0.2","L-DRL","5","-1","0.01","0.04","3","1.7042518854141235","0.45924"
"CIFAR10_FWDTP-BN_linear-BN","0.4608","0.4608","finished","753","","false","FWDTP-BN","256","CIFAR10","100","linear-BN","0.02","DTP","5","-1","0.01","0.01","3","1.6518609523773191","0.70934"
"CIFAR10_DTP_linear_DRL","0.4199","0.4199","finished","1662","","false","DTP","256","CIFAR10","100","linear","2","DRL","5","-1","0.01","0.008","3","1.7098909616470337","0.47354"
"MNIST_DTP_linear_DRL","0.9275","0.9275","finished","4717","","false","DTP","256","MNIST","100","linear","4","DRL","3","-1","0.01","0.04","","0.2427631318569183","0.9351"
"FashionMNIST_BP","0.8915","0.8915","finished","191","tanh","false","BP","256","FashionMNIST","100","linear","0.1","DTP","1","-1","0.01","0.04","","0.431338906288147","0.9861833333333332"
"CIFAR100_DTP_linear_L-DRL","0.199","0.199","finished","1451","","false","DTP","256","CIFAR100","100","linear","2","L-DRL","4","-1","0.01","0.008","3","3.5986435413360596","0.2846"
"MNIST_FWDTP-BN_linear-BN","0.9706","0.9706","finished","7988","","false","FWDTP-BN","256","MNIST","100","linear-BN","0.1","DTP","4","-1","0.01","0.04","","0.3885255753993988","0.996"
